"Step","prior10-4cycle - train_metric","prior10-4cycle - train_metric__MIN","prior10-4cycle - train_metric__MAX"
"335","0.75888","0.75888","0.75888"
"336","0.76732","0.76732","0.76732"
"337","0.76888","0.76888","0.76888"
"338","0.76276","0.76276","0.76276"
"339","0.76108","0.76108","0.76108"
"340","0.7658","0.7658","0.7658"
"341","0.76328","0.76328","0.76328"
"342","0.76448","0.76448","0.76448"
"343","0.76172","0.76172","0.76172"
"344","0.76332","0.76332","0.76332"
"345","0.76812","0.76812","0.76812"
"346","0.76068","0.76068","0.76068"
"347","0.76432","0.76432","0.76432"
"348","0.76468","0.76468","0.76468"
"349","0.76236","0.76236","0.76236"
"350","0.76156","0.76156","0.76156"
"351","0.75952","0.75952","0.75952"
"352","0.7608","0.7608","0.7608"
"353","0.76452","0.76452","0.76452"
"354","0.76448","0.76448","0.76448"
"355","0.76176","0.76176","0.76176"
"356","0.76528","0.76528","0.76528"
"357","0.76432","0.76432","0.76432"
"358","0.76512","0.76512","0.76512"
"359","0.76556","0.76556","0.76556"
"360","0.7618","0.7618","0.7618"
"361","0.76568","0.76568","0.76568"
"362","0.76332","0.76332","0.76332"
"363","0.76356","0.76356","0.76356"
"364","0.76356","0.76356","0.76356"
"365","0.76136","0.76136","0.76136"
"366","0.75848","0.75848","0.75848"
"367","0.76172","0.76172","0.76172"
"368","0.76072","0.76072","0.76072"
"369","0.76188","0.76188","0.76188"
"370","0.76468","0.76468","0.76468"
"371","0.76144","0.76144","0.76144"
"372","0.7588","0.7588","0.7588"
"373","0.76076","0.76076","0.76076"
"374","0.76048","0.76048","0.76048"
"375","0.76084","0.76084","0.76084"
"376","0.76356","0.76356","0.76356"
"377","0.76276","0.76276","0.76276"
"378","0.766","0.766","0.766"
"379","0.76496","0.76496","0.76496"
"380","0.76376","0.76376","0.76376"
"381","0.76072","0.76072","0.76072"
"382","0.76656","0.76656","0.76656"
"383","0.7618","0.7618","0.7618"
"384","0.7608","0.7608","0.7608"
"385","0.76772","0.76772","0.76772"
"386","0.7666","0.7666","0.7666"
"387","0.76596","0.76596","0.76596"
"388","0.75956","0.75956","0.75956"
"389","0.76764","0.76764","0.76764"
"390","0.76136","0.76136","0.76136"
"391","0.76356","0.76356","0.76356"
"392","0.76468","0.76468","0.76468"
"393","0.75984","0.75984","0.75984"
"394","0.7664","0.7664","0.7664"
"395","0.76328","0.76328","0.76328"
"396","0.76452","0.76452","0.76452"
"397","0.76024","0.76024","0.76024"
"398","0.76336","0.76336","0.76336"
"399","0.76636","0.76636","0.76636"
"400","0.76792","0.76792","0.76792"
"401","0.765","0.765","0.765"
"402","0.76088","0.76088","0.76088"
"403","0.762","0.762","0.762"
"404","0.7674","0.7674","0.7674"
"405","0.75824","0.75824","0.75824"
"406","0.75792","0.75792","0.75792"
"407","0.7634","0.7634","0.7634"
"408","0.76316","0.76316","0.76316"
"409","0.75704","0.75704","0.75704"
"410","0.7618","0.7618","0.7618"
"411","0.76088","0.76088","0.76088"
"412","0.75676","0.75676","0.75676"
"413","0.76544","0.76544","0.76544"
"414","0.76568","0.76568","0.76568"
"415","0.76236","0.76236","0.76236"
"416","0.757","0.757","0.757"
"417","0.76288","0.76288","0.76288"
"418","0.76288","0.76288","0.76288"
"419","0.76256","0.76256","0.76256"
"420","0.75468","0.75468","0.75468"
"421","0.76228","0.76228","0.76228"
"422","0.7598","0.7598","0.7598"
"423","0.76448","0.76448","0.76448"
"424","0.76676","0.76676","0.76676"
"425","0.75804","0.75804","0.75804"
"426","0.7656","0.7656","0.7656"
"427","0.76136","0.76136","0.76136"
"428","0.7646","0.7646","0.7646"
"429","0.7668","0.7668","0.7668"
"430","0.76524","0.76524","0.76524"
"431","0.75912","0.75912","0.75912"
"432","0.75916","0.75916","0.75916"
"433","0.7632","0.7632","0.7632"
"434","0.76672","0.76672","0.76672"
"435","0.76064","0.76064","0.76064"
"436","0.76472","0.76472","0.76472"
"437","0.76496","0.76496","0.76496"
"438","0.7628","0.7628","0.7628"
"439","0.76072","0.76072","0.76072"
"440","0.763","0.763","0.763"
"441","0.76496","0.76496","0.76496"
"442","0.76564","0.76564","0.76564"
"443","0.76312","0.76312","0.76312"
"444","0.76072","0.76072","0.76072"
"445","0.76256","0.76256","0.76256"
"446","0.75952","0.75952","0.75952"
"447","0.76508","0.76508","0.76508"
"448","0.75772","0.75772","0.75772"
"449","0.76564","0.76564","0.76564"
"450","0.75616","0.75616","0.75616"
"451","0.76636","0.76636","0.76636"
"452","0.76268","0.76268","0.76268"
"453","0.7656","0.7656","0.7656"
"454","0.76336","0.76336","0.76336"
"455","0.75808","0.75808","0.75808"
"456","0.75756","0.75756","0.75756"
"457","0.76328","0.76328","0.76328"
"458","0.76316","0.76316","0.76316"
"459","0.75708","0.75708","0.75708"
"460","0.76012","0.76012","0.76012"
"461","0.76732","0.76732","0.76732"
"462","0.76484","0.76484","0.76484"
"463","0.76324","0.76324","0.76324"
"464","0.76664","0.76664","0.76664"
"465","0.75884","0.75884","0.75884"
"466","0.76136","0.76136","0.76136"
"467","0.76444","0.76444","0.76444"
"468","0.76576","0.76576","0.76576"
"469","0.7636","0.7636","0.7636"
"470","0.7612","0.7612","0.7612"
"471","0.76496","0.76496","0.76496"
"472","0.76396","0.76396","0.76396"
"473","0.76132","0.76132","0.76132"
"474","0.76216","0.76216","0.76216"
"475","0.76348","0.76348","0.76348"
"476","0.76128","0.76128","0.76128"
"477","0.76008","0.76008","0.76008"
"478","0.76536","0.76536","0.76536"
"479","0.75772","0.75772","0.75772"
"480","0.7562","0.7562","0.7562"
"481","0.75868","0.75868","0.75868"
"482","0.76228","0.76228","0.76228"
"483","0.76272","0.76272","0.76272"
"484","0.767","0.767","0.767"
"485","0.76656","0.76656","0.76656"
"486","0.7552","0.7552","0.7552"
"487","0.76312","0.76312","0.76312"
"488","0.75664","0.75664","0.75664"
"489","0.76324","0.76324","0.76324"
"490","0.75892","0.75892","0.75892"
"491","0.75888","0.75888","0.75888"
"492","0.76672","0.76672","0.76672"
"493","0.76384","0.76384","0.76384"
"494","0.76516","0.76516","0.76516"
"495","0.75948","0.75948","0.75948"
"496","0.75836","0.75836","0.75836"
"497","0.76156","0.76156","0.76156"
"498","0.75944","0.75944","0.75944"
"499","0.7614","0.7614","0.7614"
"500","0.7566","0.7566","0.7566"
"501","0.75984","0.75984","0.75984"
"502","0.75948","0.75948","0.75948"
"503","0.76664","0.76664","0.76664"
"504","0.76908","0.76908","0.76908"
"505","0.75764","0.75764","0.75764"
"506","0.76272","0.76272","0.76272"
"507","0.75832","0.75832","0.75832"
"508","0.76288","0.76288","0.76288"
"509","0.76112","0.76112","0.76112"
"510","0.75636","0.75636","0.75636"
"511","0.76432","0.76432","0.76432"
"512","0.7642","0.7642","0.7642"
"513","0.76544","0.76544","0.76544"
"514","0.7588","0.7588","0.7588"
"515","0.75668","0.75668","0.75668"
"516","0.75968","0.75968","0.75968"
"517","0.75832","0.75832","0.75832"
"518","0.75928","0.75928","0.75928"
"519","0.75344","0.75344","0.75344"
"520","0.75772","0.75772","0.75772"
"521","0.75748","0.75748","0.75748"
"522","0.75924","0.75924","0.75924"
"523","0.76144","0.76144","0.76144"
"524","0.76088","0.76088","0.76088"
"525","0.75748","0.75748","0.75748"
"526","0.76372","0.76372","0.76372"
"527","0.76104","0.76104","0.76104"
"528","0.7602","0.7602","0.7602"
"529","0.76344","0.76344","0.76344"
"530","0.76004","0.76004","0.76004"
"531","0.767","0.767","0.767"
"532","0.76432","0.76432","0.76432"
"533","0.76472","0.76472","0.76472"
"534","0.76296","0.76296","0.76296"
"535","0.75936","0.75936","0.75936"
"536","0.7568","0.7568","0.7568"
"537","0.75508","0.75508","0.75508"
"538","0.75516","0.75516","0.75516"
"539","0.7642","0.7642","0.7642"
"540","0.76652","0.76652","0.76652"
"541","0.7636","0.7636","0.7636"
"542","0.7594","0.7594","0.7594"
"543","0.76396","0.76396","0.76396"
"544","0.76068","0.76068","0.76068"
"545","0.76052","0.76052","0.76052"
"546","0.76512","0.76512","0.76512"
"547","0.76224","0.76224","0.76224"
"548","0.76236","0.76236","0.76236"
"549","0.75544","0.75544","0.75544"
"550","0.766","0.766","0.766"
"551","0.76356","0.76356","0.76356"
"552","0.75852","0.75852","0.75852"
"553","0.76644","0.76644","0.76644"
"554","0.7606","0.7606","0.7606"
"555","0.76188","0.76188","0.76188"
"556","0.77252","0.77252","0.77252"
"557","0.75724","0.75724","0.75724"
"558","0.76528","0.76528","0.76528"
"559","0.76344","0.76344","0.76344"
"560","0.76884","0.76884","0.76884"
"561","0.76244","0.76244","0.76244"
"562","0.76676","0.76676","0.76676"
"563","0.75804","0.75804","0.75804"
"564","0.75828","0.75828","0.75828"
"565","0.75872","0.75872","0.75872"
"566","0.7626","0.7626","0.7626"
"567","0.76812","0.76812","0.76812"
"568","0.7644","0.7644","0.7644"
"569","0.76632","0.76632","0.76632"
"570","0.76556","0.76556","0.76556"
"571","0.7536","0.7536","0.7536"
"572","0.76016","0.76016","0.76016"
"573","0.76692","0.76692","0.76692"
"574","0.76668","0.76668","0.76668"
"575","0.7638","0.7638","0.7638"
"576","0.76972","0.76972","0.76972"
"577","0.75512","0.75512","0.75512"
"578","0.76408","0.76408","0.76408"
"579","0.7632","0.7632","0.7632"
"580","0.7632","0.7632","0.7632"
"581","0.7686","0.7686","0.7686"
"582","0.77176","0.77176","0.77176"
"583","0.77308","0.77308","0.77308"
"584","0.75964","0.75964","0.75964"
"585","0.77208","0.77208","0.77208"
"586","0.75368","0.75368","0.75368"
"587","0.76884","0.76884","0.76884"
"588","0.76956","0.76956","0.76956"
"589","0.76456","0.76456","0.76456"
"590","0.75352","0.75352","0.75352"
"591","0.76332","0.76332","0.76332"
"592","0.76024","0.76024","0.76024"
"593","0.7656","0.7656","0.7656"
"594","0.76968","0.76968","0.76968"
"595","0.75916","0.75916","0.75916"
"596","0.757","0.757","0.757"
"597","0.7644","0.7644","0.7644"
"598","0.76576","0.76576","0.76576"
"599","0.77312","0.77312","0.77312"
"600","0.7562","0.7562","0.7562"
"601","0.7604","0.7604","0.7604"
"602","0.76904","0.76904","0.76904"
"603","0.76152","0.76152","0.76152"
"604","0.76604","0.76604","0.76604"
"605","0.75776","0.75776","0.75776"
"606","0.7584","0.7584","0.7584"
"607","0.77516","0.77516","0.77516"
"608","0.75788","0.75788","0.75788"
"609","0.76872","0.76872","0.76872"
"610","0.75948","0.75948","0.75948"
"611","0.77056","0.77056","0.77056"
"612","0.76984","0.76984","0.76984"
"613","0.7658","0.7658","0.7658"
"614","0.75568","0.75568","0.75568"
"615","0.75748","0.75748","0.75748"
"616","0.76236","0.76236","0.76236"
"617","0.764","0.764","0.764"
"618","0.76108","0.76108","0.76108"
"619","0.7668","0.7668","0.7668"
"620","0.75896","0.75896","0.75896"
"621","0.7718","0.7718","0.7718"
"622","0.77308","0.77308","0.77308"
"623","0.76104","0.76104","0.76104"
"624","0.77088","0.77088","0.77088"
"625","0.77068","0.77068","0.77068"
"626","0.76424","0.76424","0.76424"
"627","0.76952","0.76952","0.76952"
"628","0.75772","0.75772","0.75772"
"629","0.76936","0.76936","0.76936"
"630","0.77104","0.77104","0.77104"
"631","0.77516","0.77516","0.77516"
"632","0.76076","0.76076","0.76076"
"633","0.7684","0.7684","0.7684"
"634","0.76876","0.76876","0.76876"
"635","0.76808","0.76808","0.76808"
"636","0.7656","0.7656","0.7656"
"637","0.76408","0.76408","0.76408"
"638","0.76496","0.76496","0.76496"
"639","0.76064","0.76064","0.76064"
"640","0.76048","0.76048","0.76048"
"641","0.76916","0.76916","0.76916"
"642","0.76416","0.76416","0.76416"
"643","0.77148","0.77148","0.77148"
"644","0.76296","0.76296","0.76296"
"645","0.76448","0.76448","0.76448"
"646","0.76968","0.76968","0.76968"
"647","0.77312","0.77312","0.77312"
"648","0.77196","0.77196","0.77196"
"649","0.76824","0.76824","0.76824"
"650","0.7706","0.7706","0.7706"
"651","0.76792","0.76792","0.76792"
"652","0.768","0.768","0.768"
"653","0.7652","0.7652","0.7652"
"654","0.7696","0.7696","0.7696"
"655","0.768","0.768","0.768"
"656","0.7736","0.7736","0.7736"
"657","0.77036","0.77036","0.77036"
"658","0.77616","0.77616","0.77616"
"659","0.75968","0.75968","0.75968"
"660","0.7698","0.7698","0.7698"
"661","0.76696","0.76696","0.76696"
"662","0.7634","0.7634","0.7634"
"663","0.76424","0.76424","0.76424"
"664","0.76632","0.76632","0.76632"
"665","0.76392","0.76392","0.76392"
"666","0.76624","0.76624","0.76624"
"667","0.769","0.769","0.769"
"668","0.76192","0.76192","0.76192"
"669","0.7686","0.7686","0.7686"
"670","0.76764","0.76764","0.76764"
"671","0.76916","0.76916","0.76916"
"672","0.7708","0.7708","0.7708"
"673","0.77008","0.77008","0.77008"
"674","0.77432","0.77432","0.77432"
"675","0.7676","0.7676","0.7676"
"676","0.76524","0.76524","0.76524"
"677","0.76808","0.76808","0.76808"
"678","0.77068","0.77068","0.77068"
"679","0.77168","0.77168","0.77168"
"680","0.76952","0.76952","0.76952"
"681","0.76972","0.76972","0.76972"
"682","0.76988","0.76988","0.76988"
"683","0.76736","0.76736","0.76736"
"684","0.76848","0.76848","0.76848"
"685","0.76656","0.76656","0.76656"
"686","0.77328","0.77328","0.77328"
"687","0.76112","0.76112","0.76112"
"688","0.76996","0.76996","0.76996"
"689","0.76776","0.76776","0.76776"
"690","0.77212","0.77212","0.77212"
"691","0.76624","0.76624","0.76624"
"692","0.76884","0.76884","0.76884"
"693","0.76888","0.76888","0.76888"
"694","0.7754","0.7754","0.7754"
"695","0.7678","0.7678","0.7678"
"696","0.7678","0.7678","0.7678"
"697","0.7688","0.7688","0.7688"
"698","0.7654","0.7654","0.7654"
"699","0.76612","0.76612","0.76612"
"700","0.5","0.5","0.5"
"701","0.5","0.5","0.5"
"702","0.5","0.5","0.5"
"703","0.5","0.5","0.5"
"704","0.5","0.5","0.5"
"705","0.5","0.5","0.5"
"706","0.5","0.5","0.5"
"707","0.66276","0.66276","0.66276"
"708","0.68744","0.68744","0.68744"
"709","0.72128","0.72128","0.72128"
"710","0.72044","0.72044","0.72044"
"711","0.72048","0.72048","0.72048"
"712","0.69608","0.69608","0.69608"
"713","0.699","0.699","0.699"
"714","0.70176","0.70176","0.70176"
"715","0.6916","0.6916","0.6916"
"716","0.69752","0.69752","0.69752"
