"Step","prior5-4cycle - train_metric","prior5-4cycle - train_metric__MIN","prior5-4cycle - train_metric__MAX"
"244","0.77144","0.77144","0.77144"
"245","0.76872","0.76872","0.76872"
"246","0.7708","0.7708","0.7708"
"247","0.77104","0.77104","0.77104"
"248","0.77128","0.77128","0.77128"
"249","0.772","0.772","0.772"
"250","0.77184","0.77184","0.77184"
"251","0.77376","0.77376","0.77376"
"252","0.77136","0.77136","0.77136"
"253","0.77272","0.77272","0.77272"
"254","0.77464","0.77464","0.77464"
"255","0.77192","0.77192","0.77192"
"256","0.77256","0.77256","0.77256"
"257","0.776","0.776","0.776"
"258","0.77728","0.77728","0.77728"
"259","0.77024","0.77024","0.77024"
"260","0.77232","0.77232","0.77232"
"261","0.77008","0.77008","0.77008"
"262","0.77544","0.77544","0.77544"
"263","0.764","0.764","0.764"
"264","0.7672","0.7672","0.7672"
"265","0.7708","0.7708","0.7708"
"266","0.77096","0.77096","0.77096"
"267","0.77568","0.77568","0.77568"
"268","0.77096","0.77096","0.77096"
"269","0.77152","0.77152","0.77152"
"270","0.77392","0.77392","0.77392"
"271","0.77312","0.77312","0.77312"
"272","0.77376","0.77376","0.77376"
"273","0.76952","0.76952","0.76952"
"274","0.77136","0.77136","0.77136"
"275","0.77456","0.77456","0.77456"
"276","0.7712","0.7712","0.7712"
"277","0.77488","0.77488","0.77488"
"278","0.77472","0.77472","0.77472"
"279","0.76936","0.76936","0.76936"
"280","0.76392","0.76392","0.76392"
"281","0.77208","0.77208","0.77208"
"282","0.77176","0.77176","0.77176"
"283","0.77096","0.77096","0.77096"
"284","0.77088","0.77088","0.77088"
"285","0.76744","0.76744","0.76744"
"286","0.766","0.766","0.766"
"287","0.77592","0.77592","0.77592"
"288","0.7728","0.7728","0.7728"
"289","0.76544","0.76544","0.76544"
"290","0.77296","0.77296","0.77296"
"291","0.77072","0.77072","0.77072"
"292","0.77176","0.77176","0.77176"
"293","0.77328","0.77328","0.77328"
"294","0.77192","0.77192","0.77192"
"295","0.77648","0.77648","0.77648"
"296","0.7712","0.7712","0.7712"
"297","0.76864","0.76864","0.76864"
"298","0.77864","0.77864","0.77864"
"299","0.77192","0.77192","0.77192"
"300","0.7648","0.7648","0.7648"
"301","0.77256","0.77256","0.77256"
"302","0.77712","0.77712","0.77712"
"303","0.77592","0.77592","0.77592"
"304","0.77272","0.77272","0.77272"
"305","0.77632","0.77632","0.77632"
"306","0.77552","0.77552","0.77552"
"307","0.77208","0.77208","0.77208"
"308","0.77112","0.77112","0.77112"
"309","0.76856","0.76856","0.76856"
"310","0.77464","0.77464","0.77464"
"311","0.77176","0.77176","0.77176"
"312","0.77432","0.77432","0.77432"
"313","0.7736","0.7736","0.7736"
"314","0.77688","0.77688","0.77688"
"315","0.774","0.774","0.774"
"316","0.77992","0.77992","0.77992"
"317","0.7704","0.7704","0.7704"
"318","0.77736","0.77736","0.77736"
"319","0.7736","0.7736","0.7736"
"320","0.77392","0.77392","0.77392"
"321","0.76992","0.76992","0.76992"
"322","0.77144","0.77144","0.77144"
"323","0.77376","0.77376","0.77376"
"324","0.7776","0.7776","0.7776"
"325","0.7752","0.7752","0.7752"
"326","0.77448","0.77448","0.77448"
"327","0.78272","0.78272","0.78272"
"328","0.77288","0.77288","0.77288"
"329","0.77552","0.77552","0.77552"
"330","0.77712","0.77712","0.77712"
"331","0.7776","0.7776","0.7776"
"332","0.76856","0.76856","0.76856"
"333","0.7744","0.7744","0.7744"
"334","0.76792","0.76792","0.76792"
"335","0.77064","0.77064","0.77064"
"336","0.77472","0.77472","0.77472"
"337","0.77392","0.77392","0.77392"
"338","0.77432","0.77432","0.77432"
"339","0.76552","0.76552","0.76552"
"340","0.77744","0.77744","0.77744"
"341","0.77536","0.77536","0.77536"
"342","0.77616","0.77616","0.77616"
"343","0.77008","0.77008","0.77008"
"344","0.77184","0.77184","0.77184"
"345","0.77304","0.77304","0.77304"
"346","0.77248","0.77248","0.77248"
"347","0.77448","0.77448","0.77448"
"348","0.76968","0.76968","0.76968"
"349","0.76576","0.76576","0.76576"
"350","0.7676","0.7676","0.7676"
"351","0.77192","0.77192","0.77192"
"352","0.77432","0.77432","0.77432"
"353","0.78096","0.78096","0.78096"
"354","0.77104","0.77104","0.77104"
"355","0.77232","0.77232","0.77232"
"356","0.77464","0.77464","0.77464"
"357","0.76832","0.76832","0.76832"
"358","0.77352","0.77352","0.77352"
"359","0.7752","0.7752","0.7752"
"360","0.7644","0.7644","0.7644"
"361","0.77136","0.77136","0.77136"
"362","0.77256","0.77256","0.77256"
"363","0.77536","0.77536","0.77536"
"364","0.76784","0.76784","0.76784"
"365","0.77528","0.77528","0.77528"
"366","0.77272","0.77272","0.77272"
"367","0.776","0.776","0.776"
"368","0.77024","0.77024","0.77024"
"369","0.77136","0.77136","0.77136"
"370","0.77304","0.77304","0.77304"
"371","0.77128","0.77128","0.77128"
"372","0.77296","0.77296","0.77296"
"373","0.77264","0.77264","0.77264"
"374","0.77264","0.77264","0.77264"
"375","0.77464","0.77464","0.77464"
"376","0.76992","0.76992","0.76992"
"377","0.77432","0.77432","0.77432"
"378","0.77616","0.77616","0.77616"
"379","0.77392","0.77392","0.77392"
"380","0.7732","0.7732","0.7732"
"381","0.77024","0.77024","0.77024"
"382","0.76856","0.76856","0.76856"
"383","0.7744","0.7744","0.7744"
"384","0.77424","0.77424","0.77424"
"385","0.7676","0.7676","0.7676"
"386","0.76856","0.76856","0.76856"
"387","0.77144","0.77144","0.77144"
"388","0.77744","0.77744","0.77744"
"389","0.77432","0.77432","0.77432"
"390","0.77616","0.77616","0.77616"
"391","0.78048","0.78048","0.78048"
"392","0.76984","0.76984","0.76984"
"393","0.772","0.772","0.772"
"394","0.77216","0.77216","0.77216"
"395","0.77984","0.77984","0.77984"
"396","0.77312","0.77312","0.77312"
"397","0.76952","0.76952","0.76952"
"398","0.7712","0.7712","0.7712"
"399","0.76688","0.76688","0.76688"
"400","0.76544","0.76544","0.76544"
"401","0.77488","0.77488","0.77488"
"402","0.77072","0.77072","0.77072"
"403","0.76888","0.76888","0.76888"
"404","0.77272","0.77272","0.77272"
"405","0.7744","0.7744","0.7744"
"406","0.76536","0.76536","0.76536"
"407","0.77424","0.77424","0.77424"
"408","0.76992","0.76992","0.76992"
"409","0.77944","0.77944","0.77944"
"410","0.77432","0.77432","0.77432"
"411","0.77376","0.77376","0.77376"
"412","0.77448","0.77448","0.77448"
"413","0.7744","0.7744","0.7744"
"414","0.77632","0.77632","0.77632"
"415","0.77168","0.77168","0.77168"
"416","0.77312","0.77312","0.77312"
"417","0.77352","0.77352","0.77352"
"418","0.77792","0.77792","0.77792"
"419","0.76864","0.76864","0.76864"
"420","0.77104","0.77104","0.77104"
"421","0.77024","0.77024","0.77024"
"422","0.7716","0.7716","0.7716"
"423","0.77184","0.77184","0.77184"
"424","0.7684","0.7684","0.7684"
"425","0.76944","0.76944","0.76944"
"426","0.77352","0.77352","0.77352"
"427","0.77504","0.77504","0.77504"
"428","0.77568","0.77568","0.77568"
"429","0.77064","0.77064","0.77064"
"430","0.7752","0.7752","0.7752"
"431","0.77672","0.77672","0.77672"
"432","0.76728","0.76728","0.76728"
"433","0.77168","0.77168","0.77168"
"434","0.77208","0.77208","0.77208"
"435","0.77264","0.77264","0.77264"
"436","0.77568","0.77568","0.77568"
"437","0.77352","0.77352","0.77352"
"438","0.77584","0.77584","0.77584"
"439","0.77088","0.77088","0.77088"
"440","0.77536","0.77536","0.77536"
"441","0.7724","0.7724","0.7724"
"442","0.77432","0.77432","0.77432"
"443","0.77216","0.77216","0.77216"
"444","0.77432","0.77432","0.77432"
"445","0.7736","0.7736","0.7736"
"446","0.77368","0.77368","0.77368"
"447","0.77024","0.77024","0.77024"
"448","0.77392","0.77392","0.77392"
"449","0.77088","0.77088","0.77088"
"450","0.7696","0.7696","0.7696"
"451","0.7724","0.7724","0.7724"
"452","0.77328","0.77328","0.77328"
"453","0.7764","0.7764","0.7764"
"454","0.77272","0.77272","0.77272"
"455","0.7704","0.7704","0.7704"
"456","0.77192","0.77192","0.77192"
"457","0.76712","0.76712","0.76712"
"458","0.76784","0.76784","0.76784"
"459","0.77192","0.77192","0.77192"
"460","0.77016","0.77016","0.77016"
"461","0.76872","0.76872","0.76872"
"462","0.77128","0.77128","0.77128"
"463","0.77616","0.77616","0.77616"
"464","0.77792","0.77792","0.77792"
"465","0.77464","0.77464","0.77464"
"466","0.7796","0.7796","0.7796"
"467","0.76912","0.76912","0.76912"
"468","0.77392","0.77392","0.77392"
"469","0.77192","0.77192","0.77192"
"470","0.77088","0.77088","0.77088"
"471","0.7712","0.7712","0.7712"
"472","0.77464","0.77464","0.77464"
"473","0.76856","0.76856","0.76856"
"474","0.77456","0.77456","0.77456"
"475","0.76912","0.76912","0.76912"
"476","0.7764","0.7764","0.7764"
"477","0.77536","0.77536","0.77536"
"478","0.7684","0.7684","0.7684"
"479","0.77648","0.77648","0.77648"
"480","0.77352","0.77352","0.77352"
"481","0.77544","0.77544","0.77544"
"482","0.77392","0.77392","0.77392"
"483","0.77456","0.77456","0.77456"
"484","0.768","0.768","0.768"
"485","0.77744","0.77744","0.77744"
"486","0.77072","0.77072","0.77072"
"487","0.76992","0.76992","0.76992"
"488","0.774","0.774","0.774"
"489","0.77256","0.77256","0.77256"
"490","0.7712","0.7712","0.7712"
"491","0.76384","0.76384","0.76384"
"492","0.76632","0.76632","0.76632"
"493","0.76952","0.76952","0.76952"
"494","0.77304","0.77304","0.77304"
"495","0.7684","0.7684","0.7684"
"496","0.77304","0.77304","0.77304"
"497","0.77064","0.77064","0.77064"
"498","0.77192","0.77192","0.77192"
"499","0.77768","0.77768","0.77768"
"500","0.7688","0.7688","0.7688"
"501","0.7732","0.7732","0.7732"
"502","0.77304","0.77304","0.77304"
"503","0.77352","0.77352","0.77352"
"504","0.76808","0.76808","0.76808"
"505","0.77128","0.77128","0.77128"
"506","0.774","0.774","0.774"
"507","0.76776","0.76776","0.76776"
"508","0.77408","0.77408","0.77408"
"509","0.77432","0.77432","0.77432"
"510","0.7772","0.7772","0.7772"
"511","0.77968","0.77968","0.77968"
"512","0.76832","0.76832","0.76832"
"513","0.7696","0.7696","0.7696"
"514","0.76984","0.76984","0.76984"
"515","0.76784","0.76784","0.76784"
"516","0.77512","0.77512","0.77512"
"517","0.774","0.774","0.774"
"518","0.76928","0.76928","0.76928"
"519","0.77288","0.77288","0.77288"
"520","0.77496","0.77496","0.77496"
"521","0.77544","0.77544","0.77544"
"522","0.77136","0.77136","0.77136"
"523","0.7744","0.7744","0.7744"
"524","0.7724","0.7724","0.7724"
"525","0.77104","0.77104","0.77104"
"526","0.7732","0.7732","0.7732"
"527","0.76936","0.76936","0.76936"
"528","0.7792","0.7792","0.7792"
"529","0.77064","0.77064","0.77064"
"530","0.7704","0.7704","0.7704"
"531","0.77184","0.77184","0.77184"
"532","0.76776","0.76776","0.76776"
"533","0.77408","0.77408","0.77408"
"534","0.76744","0.76744","0.76744"
"535","0.77792","0.77792","0.77792"
"536","0.77256","0.77256","0.77256"
"537","0.77072","0.77072","0.77072"
"538","0.77512","0.77512","0.77512"
"539","0.76968","0.76968","0.76968"
"540","0.76904","0.76904","0.76904"
"541","0.77048","0.77048","0.77048"
"542","0.772","0.772","0.772"
